term,definition,category,example,correct,attempts,last_tested
Nasal obstruction,"Inhibition of normal nasal breathing due to a mechanical impediment of the nasopharyngeal airway.
Nasal obstruction generally induces mouth breathing, but the reverse is not always true (i.e. the
presence of mouth breathing does not necessarily suggest nasal obstruction), as mouth breathing
could be habitual.
[See ""Adenoid facies""]",,,,,
Neckstrap,"The component of an extraoral appliance (e.g. cervical headgear) that distributes and transfers
reaction forces to the cervical area.",,,,,
Shear deformation,"A change in shape as a result of shear stress. (In the finite element example, shear deformation of
a rectangular element would cause it to assume the shape of a parallelogram. )",,,,,
Superior joint space (Superior joint compartment),"The intra-articular space between the head of the superior surface of the articular disc of the TMJ
and the mandibular fossa of the temporal bone that is involved in the translational movement of the
condyle during the later stages of opening movement.
[See Joint, Temporomandibular joint (TMJ, Craniomandibular articulation)]",,,,,
Orthodontic cement,"Dental cement used for fixation of orthodontic bands to the teeth.

SUBTERMS:
Glass-ionomer cement
Resin-modified glass-ionomer cement (Dual-cured glass-ionomer cement)
Zinc oxide-eugenol (ZOE) cement
Zinc phosphate cement",,,,,
Retrognathism (Retrognathia),"A condition of facial disharmony in which one or both jaws are posterior to normal, in their
craniofacial relationships. When the term is mentioned without further clarification, it usually refers
to the mandible.",,,,,
"Orthodontic instruments
• Turret","Tubular metal device of various circumferences carrying grooves of various calibrated sizes, used
to shape straight lengths of orthodontic wire into
an arch form. Some turrets are equipped with
angulated grooves to place torque into rectangular
wire during shaping of the arch form.",,,,,
"Ridge
• Key ridge","A radiographic anatomical landmark commonly appearing on a lateral cephalometric radiograph. It
represents the lower contour of the zygomatic bony ridge, situated between the maxillary tuberosity
and the canine fossa.",,,,,
Occlusal contact,"• Working side contact (Laterotrusive occlusal contact)
A contact between maxillary and mandibular teeth on the ipsilateral side during guided lateral
excursive movement of the mandible.",,,,,
Obturator,"A dental prosthesis or appliance used to close a congenital or acquired opening. Sometimes used
to cover a remaining oronasal fistula or to facilitate the velopharyngeal mechanism in a patient with
a history of cleft lip and palate.",,,,,
Occlusal dysfunction,"A malocclusion with impaired function.
Occlusal equilibration (Occlusal adjustment)
Selective grinding of occlusal surfaces of the teeth in an effort to eliminate premature contacts and
occlusal interferences, to achieve balancing of the functional occlusal load on the teeth, to eliminate occlusal trauma, to address muscle tension and associated pain, to improve functional
relations or to aid in the stabilization of orthodontic results.",,,,,
Occlusal,"Pertaining to the masticatory surfaces of the posterior teeth. (Also may be used to identify a
coronal direction. )",,,,,
"Occlusal interference (Premature occlusal contact, Supracontact, Deflective occlusal
contact, ""Prematurity"")","Undesirable occlusal contact that may produce mandibular deviation during closure to maximum
intercuspation or may hinder smooth passage to and from the intercuspal position.",,,,,
Occlusal equilibrium,"The stage of eruptive tooth movement starting at the point that a tooth reaches the occlusal level
and is in complete function. Occlusal equilibrium is divided into juvenile and adult phases.",,,,,
"""Sunday"" bite","A situation in which patients with a skeletal Class II jaw relationship habitually position their
mandible in a more anterior position, making the occlusion appear ""better"" than it really is.",,,,,
Digital subtraction radiography,"Digital subtraction radiography
Photographic subtraction radiography",,,,,
"Occlusal equilibrium
• Adult occlusal equilibrium","The final phase of tooth eruption after the end of the pubertal growth spurt. During this phase the
rate of tooth eruption is extremely slow.
[See Physiologic tooth movement]
[See Post-emergent spurt]",,,,,
"Occlusal equilibrium
• Juvenile occlusal equilibrium","The phase of tooth eruption after the post-emergent spurt and during the period of the pubertal
growth spurt. During the juvenile equilibrium, teeth that are in function erupt at a rate that parallels
the rate of vertical growth of the mandibular ramus. The rate of tooth eruption during this stage is
much slower than during the post-emergent spurt, but faster than during the adult equilibrium.
[See Post-emergent spurt]
[See Physiologic tooth movement]",,,,,
Occlusal guidance,"The contact pattern between teeth during dentally guided mandibular movement away from or
toward maximum intercuspation.",,,,,
Centric interference,"A premature contact occurring when the mandible closes with the condyles in their optimum
position in the glenoid fossae (centric relation), which causes a deflection (shift) of the mandible in
an anterior, posterior and/or lateral direction.",,,,,
"Occlusal interference (Premature occlusal contact, Supracontact, Deflective occlusal contact,
""Prematurity"")","Occlusal interference (Premature occlusal contact, Supracontact, Deflective occlusal contact,
""Prematurity"")",,,,,
Occlusal plane (OP),"An imaginary surface that passes through the occlusion of the teeth. This surface usually is curved
and is, strictly speaking, not a plane, but commonly is approximated by one (straight line in the
lateral view), based on specific reference points with in the dental arches. The maxillary occlusal
plane passes through the occlusal cusps of the posterior teeth and the incisal edges of the
maxillary incisors. The mandibular occlusal plane is tangent to the occlusal cusps of the posterior
teeth and the incisal edges of the mandibular incisors.
[See Cephalometric lines (planes), Occlusal plane (OP)]",,,,,
Protrusive interference,"•
An occlusal contact between maxillary and mandibular posterior teeth discluding the incisors
during a protrusive mandibular excursion.",,,,,
Surgical splint (Surgical wafer),"The surgical splint is a thin, horseshoe-shaped, interocclusal acrylic wafer that is constructed on
the basis of the occlusion established from the model surgery. It is used during the operation to
provide positive indexing between the teeth, specifyingthe desired maxillomandibular occlusal
relationship. Without such a splint, it may be difficult to make a judgment in the operating room
about the precision of the intended final jaw position and occlusion. Splints also are thought to
increase the potential for stability of the surgical correction, especially in the case of a multiplepiece maxillary procedure.
Surgical splints are about 1 to 2 mm thick and usually carry small holes bilaterally through which
ligatures can be threaded to fixate the splint to the maxillary dental arch (or to both arches, if IMF is
used).
When a single-jaw procedure is performed, only one surgical splint is necessary, which will
determine the final relationship between the teeth of the two jaws (""final"" splint). However, when a2-jaw procedure is to be performed, an extra splint (""intermediate"" splint) is necessary. The
intermediate splint is used after the maxillary osteotomy but prior to the mandibular procedure, in
order to provide a reference for the final maxillary position, based on the centric relation of the
mandible. After the maxilla has been fixated in its final position, the mandibular osteotomy is
performed and the final splint is used to determine the final position of the mandibular distal
segment.
[See Segment, Distal segment]
[See Segment, Distal segment]",,,,,
"Obstructive sleep apnea (OSA, Obstructive sleep apnea syndrome, OSAS)","Breathing abnormality occurring during sleep, characterized by repeated collapse of the upper
airway, producing hypopnea, apnea and, ultimately, desaturation of hemoglobin. The hypopneic
and apneic episodes produce frequent arousal from sleep patterns. The effects of repeated
desaturation significantly alter normal cardiovascular and pulmonary function, resulting in
pulmonary and systemic hypertension as well as arrhythmias, which if untreated can lead to death.
The etiology of OSA appears to be neurogenic failure to preserve the patency of the pharyngeal
airway during sleep. The condition often is combined with airway obstruction at various anatomic
locations, such as the nasal cavity, adenoids, soft palate, tonsils or base of the tongue. Obesity is
considered a predisposing factor in the etiology. In the adult OSA population, males are affected 10
to 20 times more often than females. Almost all apneic patients snore loudly at night. The diagnosis
of OSA is made by polysomnography (multiphysiologic sleep recording).
Various treatment modalities advocated include weight loss (if patient is obese), nasal continuous
positive air pressure (nasal CPAP), or surgical uvulo-palato-pharyngoplasty (UPPP). Removable
intra-oral appliances that advance the mandible sometimes are used to re-establish the patency of
the airway, as well as to determine whether an orthognathic surgical correction is indicated.",,,,,
"Occlusal rest (Occlusal lug, Occlusal stop)","The part of a removable appliance that rests on the occlusal surface of a tooth and prevents
movement of the appliance toward the soft tissue. Occlusal rests sometimes are soldered on fixedappliances, such as a ""band and loop"" space maintainer, to resist dislodgment of the appliance as
a result of the forces of mastication.",,,,,
Optimal occlusion (Ideal occlusion),"An ideal relationship of maxillary and mandibular teeth combining a functional occlusion with the
absence of malocclusion (as described by the six keys of occlusion).
[See Ideal occlusion]
[See Occlusion, Functional occlusion (Physiological occlusion)]",,,,,
Occlusogram,"A graphic representation of the arches from the occlusal view. Occlusograms are mainly used as
treatment planning aids to assist in defining the specific tooth movements required within and
between arches (in the sagittal and transverse planes) to achieve treatment goals. An occlusogram
is essentially a two-dimensional diagnostic setup and is directly correlated with the Visual
Treatment Objective (VTO). It can be constructed from tracings of photographic or photostatic
copies of the occlusal aspects of the maxillary and mandibular study casts. The tracings of the
teeth of both arches are superimposed on each other to reproduce the existing occlusal
relationship, using index points that are marked on the models and subsequently transferred to the
tracings. Anticipated movements of individual teeth as well as the need for extractions then can be
determined, to simulate the desired treatment goal.
[See Visual treatment objective (VTO)]
[See Diagnostic setup (Kesling setup)]",,,,,
Open bite (Negative overbite),"Inherited, developmental or acquired malocclusion whereby no vertical overlap exists between
maxillary and mandibular anterior teeth (anterior open bite), or no vertical contact is exhibited
between maxillary and mandibular posterior teeth (posterior open bite). An open bite may be
localized and thus involve only a few teeth due to a digit-sucking habit or other local factors (dental
open bite), or it may be caused by divergence of the skeletal planes (skeletal open bite or
apertognathia).
[Compare with Non-occlusion]",,,,,
Settling,"Even with the most meticulous and precise positioning, it is very likely that some teeth will not be in
their most stable position during the finishing stage of treatment with a rectangular archwire.
Shortly after the appliances have been removed, the teeth ""settle"" into position by re-establishing
occlusal contacts with their antagonist and adjacent teeth until an equilibrium is reached.
Settling can be facilitated during the finishing stages of treatment by replacing the heavy
rectangular archwires with light round ones that provide some freedom for movement of the teeth,
possibly with the added use of some light posterior vertical elastics. Some clinicians prefer to
remove part of the fixed appliances (usually from the posterior teeth) a few weeks prior to the
insertion of retainers, to allow for some spontaneous settling of the teeth into their final occlusion.",,,,,
Safety release module,"Component of a headstrap, of various designs, allowing immediate release if pulled by excessive
force, to reduce the risk of injury.
Sagittal plane (Parasagittal plane)
Any vertical plane that passes through the body parallel to the median plane and divides the body
into left and right parts.
[See Median plane (Midsagittal plane)]",,,,,
Opening of the bite,"The correction of a deep bite. This can be performed by extrusion of posterior teeth, often resulting
in clockwise rotation of the mandible (increased separation between the mandibular and palatal
planes); by intrusion of the anterior teeth; or by a combination of the two methods (relative intrusion
of the anterior teeth).",,,,,
"Retrusion
• Dental retrusion","Posterior position of a tooth or group of teeth. [Note: The term ""retrusion"" does not refer to the
inclination of the long axis of the tooth. A tooth can be retrusive without being retroclined, if it is
positioned too far posteriorly but has a normal inclination. ]",,,,,
Optimal force theory,"The hypothesis that there exists a force of certain magnitude and temporal characteristics
(continuous vs. intermittent, constant vs. declining, etc. ) that is capable of producing a maximum
rate of tooth movement with no tissue damage and maximum patient comfort. The optimal force for
tooth movement may differ for each tooth, or for each individual patient.",,,,,
"Occult cleft
[See Submucous cleft palate]","Occult cleft
[See Submucous cleft palate]",,,,,
"Oculoauriculovertebral spectrum
[See Hemifacial microsomia (First and second branchial arch syndrome)]","Oculoauriculovertebral spectrum
[See Hemifacial microsomia (First and second branchial arch syndrome)]",,,,,
Orbital hypertelorism,"The increased distance between the medial orbital walls, reflecting an increased distance between
the orbits (greater than 2 standard deviations from the norm). The anatomic landmarks used
commonly for the measure-ment of interorbital distance are the dacryon points (bilaterally).
Hypertelorism is described on the basis of skeletal measurements, because the presence of
epicanthal folds or strabismus (exotropia), or other soft-tissue variations such as increased
distance between the medial canthi (telecanthus) clinically may give a false impression of
hypertelorism. Orbital hypertelorism is common in a number of craniofacial malformations such as
Crouzon syndrome and frontonasal dysplasia.
[Compare with Telecanthus]
[Compare with Orbital hypotelorism]",,,,,
"Protrusion
• Bimaxillary dentoalveolar (Bialveolar) protrusion","Anterior position and labial inclination of the maxillary and
mandibular incisors with respect to their supporting bones
and the facial profile.",,,,,
Orthodontic magnets,"Magnets have had various applications in medicine (mainly to aid in fracture healing) and in
dentistry (mainly for retention of prostheses). The miniaturization of magnets as a result of the
introduction of rare-earth or lanthanide elements facilitated their intraoral applications. In
orthodontics, magnetic forces from repelling or attracting poles have been utilized to achieve
palatal expansion, intrusion of posterior teeth, molar distalization, forced eruption of unerupted
teeth, anterior repositioning of the mandible during treatment with some functional appliances,
retraction or alignment of teeth, as well as retention of diastema closure. Neodymium-iron-boron
(Nd2Fe14B) and samarium-cobalt (SmCo5) are the types of rare-earth magnets most commonly
used. The greatest disadvantage of magnets is their low corrosion resistance in the presence of
saliva. Corrosion products are toxic to the tissues, for which reason magnets must be coated with
appropriate materials (usually parylene or acrylic), or be enclosed in a stainless steel casing, when
intended for intraoral use. The possibility of adverse effects of magnetic fields on cells and tissues
is an issue of controversy.",,,,,
Orthodontic band,"A ring, usually made of a thin strip of stainless steel, that serves to secure orthodontic attachments
to a tooth. Bands are prefabricated in varying shapes to fit closely around the crowns of specific
teeth. Each shape comes in different sizes to accommodate individual tooth size variation. Most
bands have an occluso-gingival taper to fit the tooth, with the incisal edge straight and the cervical
edge contoured, similar to the cementoenamel junction. Orthodontic bands can be plain or have
buccal (brackets or tubes) or lingual (buttons, sheaths, cleats, seating lugs) attachments welded or
brazed on them. The inner surface of the band can be conditioned by various methods such as
pattern rolling, sandblasting, photo- or laser-etching to increase retention.",,,,,
Orthodontic attachment,"Orthodontic attachment
[See Attachment, Orthodontic]
[See Button]
[See Eyelet]
[See ""Pigtail"" attachment (Coil eyelet)]
[See Tube (Molar tube)]",,,,,
"Orthodontic elastics (Rubber bands)
• Crossbite elastics (Criss-cross elastics, Through-the-bite elastics)","Elastics extending from the palatal (lingual) aspect of one or more maxillary teeth,
to the buccal aspect of one or more mandibular teeth (or the reverse), to aid in
correction of a crossbite. Crossbite elastics create vertical forces in addition to the
desirable trans-verse or anteroposterior forces; they therefore should be used with
caution, especially in patients with minimal overbite and long anterior lower facial
height.",,,,,
Osteoarthrosis,"Chronic non-inflammatory joint disorder characterized by progressive deterioration and loss of
articular cartilage and subchondral bone.",,,,,
Neurotrophism,"The hypothesis that skeletal growth is under control of the nervous system, assumedly by
transmission of substances through the axons of the nerves, much like neural activity controls
muscle growth and activity.",,,,,
Nickel-titanium alloys,"Family of alloys primarily consisting of nickel (approximately 55%), titanium (approximately 45%)
and optionally of third elements such as cobalt or copper. Nickel-titanium alloys were first reported
in the orthodontic literature by G. F. Andreasen in 1971. The name of the first commercially
available product was Nitinol. Nitinol was developed originally for the U. S. Navy, in the early
1960s, by W. F. Buehler, a research metallurgist at the Naval Ordnance Laboratory in Maryland.
[The name ""nitinol"" is an acronym derived from nickel and titanium composition, along with the
suffix -nol which stands for Naval Ordnance Laboratory. ] Although the original nitinol wire (Unitek/
3M) did not exhibit superelastic behavior, it possessed two features of considerable importance for
clinical orthodontics:
1. A very low elastic modulus (E), corresponding to about one-fifth of the force delivery of stainless
steel wires, and half the force delivery of beta-titanium archwires of the same length and crosssectional dimensions.
2. An extremely wide working range. A ""second generation"" superelastic Chinese nickel-titanium
alloy (marketed as ""Ni-Ti"" by Ormco/Sybron) exhibits non-linear loading and unloading
characteristics more pronounced than those of the original nitinol wire.
A ""third generation"" Japanese nickel-titanium alloy (marketed as ""Sentalloy"" by GAC International)
was subsequently introduced, which also exhibits superelastic behavior. [The name Sentalloy is an
acronym of the words superelastic nickel titanium alloy. ] The unloading characteristics of this type
of Ni-Ti alloys exhibit initial and final regions of relatively steep slope, along with an extensive
intermediate region where there is little or no change in stress.
The superelastic behavior and shape memory characteristics of nickel-titanium alloys are based on
a reversible transformation between the austenitic and martensitic Ni-Ti phases. Some of the
available nickel-titanium wires are termed ""thermally activated"" wires due to the fact that their
transition temperature is close to the level of body temperature.
Nickel-titanium alloys have characteristic properties that are very useful in orthodontics, namely
superelasticity, excellent springback, large working range and low stiffness. However, Ni-Ti wires
cannot be soldered or welded without losing their properties, and their friction coefficient is higher
than that of stainless steel (although still lower than that of beta-titanium). Ion-implantation may aid
in reducing the frictional resistance of nickel-titanium wires.
[See Martensitic transformation]
[See Shape memory]",,,,,
Nociception,"Stimulation of specialized nerve endings designed to transmit information to the central nervous
system concerning potential or actual tissue damage (painful sensation).",,,,,
Non-invasive,"Denoting any diagnostic or therapeutic procedure that does not require penetration of the skin or
entrance into a cavity or organ of the body.",,,,,
Non-occlusion,"Any situation in which teeth do not have maximal contact with their antagonists in habitual
occlusion. Non-occlusion may be caused by disturbances in tooth eruption (e.g. ankylosis) or by
factors that inhibit further eruption, such as digit-sucking or tongue interposition. According to its
localization, non-occlusion can be classified as anterior, posterior or total non-occlusion.
[Compare with Open bite (Negative overbite)]",,,,,
"Non-occlusion
• Anterior non-occlusion","Non-occlusion in the incisor area, which may be combined with some degree of vertical overlap of
the incisors, as frequently seen in Class II, Division 1 malocclusions.",,,,,
"Non-occlusion
• Posterior non-occlusion","Non-occlusion in the premolar or molar area, with great variation in the number of teeth and in the
occlusal surfaces involved.",,,,,
"Non-occlusion
• Total non-occlusion","A situation characterized by absence of maximal occlusal contact of all posterior teeth, combined
with an anterior non-occlusion. In total non-occlusions the tongue usually is positioned between all
opposing teeth most of the time.",,,,,
Non-steroidal anti-inflammatory drug (NSAID),"Class of anti-inflammatory medications that also provide analgesia, but lack the detrimental side
effects associated with steroid use.
Non-working side (Mediotrusive side, Non-functioning side, Balancing side)
The side opposite to the functioning (working) side on a lateral excursion of the mandible. The side
the mandible is moving away from, during a lateral excursion.",,,,,
"Normal occlusion theory of Angle
[See Extraction vs. non-extraction debate]","Normal occlusion theory of Angle
[See Extraction vs. non-extraction debate]",,,,,
Occlusion,"The relationship of the maxillary and mandibular teeth, as they are brought into functional contact.",,,,,
Occlusogingivally (Occlusoapically),"In a direction perpendicular to the occlusal plane, along the y-axis.
[See Global reference frame]",,,,,
"Orthodontic elastics (Rubber bands)
• Asymmetric elastics","Various combinations of intermaxillary elastics (e.g. Class III elastics on one side and Class II
elastics on the other) used to correct an asymmetry in the buccal segment occlusion, with or
without an associated midline discrepancy.",,,,,
"Orthodontic elastics (Rubber bands)
• Class II elastics","Orthodontic elastics (Rubber bands)
• Class II elastics",,,,,
"Orthodontic elastics (Rubber bands)
• Class III elastics","Intermaxillary elastics with the opposite orientation to
Class II elastics (from the anterior aspect of the
mandibular dental arch to the posterior aspect of the
maxillary one). As in the instance of Class II elastics,
Class III elastics can be used unilaterally or bilaterally.
They have various applications: to facilitate protraction
of maxillary posterior teeth, to improve the incisorrelationship in an edge-to-edge or anterior crossbite situation, or to make use of intermaxillary
anchorage during mandibular incisor retraction. In addition to the desired sagittal force, Class III
elastics create vertical forces (especially when the patient opens their mouth), as well as certain
transverse forces, both of which often are undesirable.",,,,,
"Orthodontic elastics (Rubber bands)
• Intermaxillary elastics (Intermaxillary traction)","Elastics running between maxillary and mandibular teeth for sagittal, transverse or
vertical coordination of the arches, or a combination of the above. Class II, Class
III and crossbite elastics are all examples of intermaxillary traction. Intermaxillary elastics generate
forces in all three planes of space, only some of which are usually desirable. They therefore should
be used with caution, especially in patients with minimal overbite and long anterior lower facial
height.",,,,,
"Orthodontic elastics (Rubber bands)
• Transpalatal elastics","Intramaxillary form of elastic traction extending across the palatal vault (e.g. between two lingual
cleats on the second molar bands) in an attempt to constrict the maxillary arch form, or to
reciprocally move buccally displaced teeth into the arch.",,,,,
"Orthodontic elastics (Rubber bands)
• Vertical elastics (Up-down
elastics, Box elastics,
Triangular elastics, Zig-zag
elastics, ""Spaghetti"" elastics)","Intermaxillary elastics in various configurations, aiming at extrusion of teeth. They are used to aid
in settling (improve the interdigitation) in the final stages of active treat-ment, to achieve closure of
a localized open bite, or to aid in postsurgical leveling of the mandibular curve of Spee by premolar
extrusion (e.g. in Class II, Division 2 patients with short lower facial height).",,,,,
Orthodontic impression trays,"Stainless steel, aluminum or plastic trays used to receive the impression material (usually alginate)
during orthodontic impression taking. An orthodontic impression tray consists of a main body and a
handle, which is either welded or riveted to the body. The maxillary tray allows for coverage of the
maxillary alveolar process and the palate, whereas the mandibular tray allows for coverage of the
mandibular alveolar process. Some tray bodies are perforated to increase retention of the
impression material. Trays are available in various sizes and shapes. The flanges of the tray are
usually extended with rope wax to achieve representation of the full depth of the vestibule during
taking of impressions for orthodontic study models.",,,,,
Orthodontic instruments,"Orthodontic procedures demand the use of many specialized instruments, along with several also
used in other areas of dentistry.",,,,,
"Orthodontic instruments
• Arch-forming pliers (Arch-contouring pliers, De la Rossa
pliers)","Pliers with straight, thick, parallel beaks; the concave beak
fits around the opposing cylindrical one. The cylindrical beak
may have grooves of varying sizes or may be non-grooved.
Used to form and contour archwires, either round or

rectangular, as well as to incorporate (reverse) curve of Spee into an archwire.",,,,,
"Orthodontic instruments
• Band burnisher (Beaver-tail burnisher)","Stainless steel instrument with a heavy, hollow handle
for palm grip, similar to a Mershon band pusher. The
shank ends in an angled beaver-tail-shaped tip that
can be smooth or serrated and flattened for easier
access to band margins under buccal tubes or bracket
wings. Used for burnishing and adapting margins of
bands to the tooth contour.",,,,,
"Orthodontic instruments
• Band-contouring pliers","Pliers with two long, tapering and slightly bowed
beaks. The convex tip at the end of the one beak fits
into the opposing concave tip in a ball- and-socket
manner. The diameter and shape of the tips vary with
the manufacturer. Used for adaptation and contouring
of stainless steel orthodontic bands.",,,,,
"Orthodontic instruments
• Band pusher (Mershon band pusher)","Stainless steel instrument with a large, tapering handle
for palm grip and a long shank with an angled tip. The
tip is rectangular and serrated to prevent slippage of
the instrument during use. Used for positioning and
seating the band properly, as wellas for burnishing or
adapting the edges of the band around the tooth.",,,,,
"Orthodontic instruments
• Band-removing (Debanding) pliers, Anterior","Pliers with a longer, flat-sided curved beak placed on the
incisal edge of teeth, opposing a shorter, sharper beak
positioned under the gingival aspect of the band orattachment. The longer incisal beak may have a
replaceable plastic or rubber tip to prevent
fractures of the incisal edge of the teeth. The
beaks generally do not make contact when the
handles are closed fully. Used to remove bands
from anterior teeth.",,,,,
"Orthodontic instruments
• Band-removing (Debanding) pliers, Posterior","Pliers with two beaks, one longer than the other. The longer beak, which carries a replaceable
plastic cap, is placed on the occlusal surface of a tooth, while the shorter, sharpened beak
engages and lifts the gingival margin of the band. Anterior and posterior band removing pliers can
be combined in a ""Universal"" design.",,,,,
"Orthodontic instruments
• Band seater (Band biter)","Plastic or metal instrument consisting of a handle
and a bite stick that makes use of the patient’s
biting force to aid the clinician in seating a band.
The tip of the bite stick has two sides. The one
that is placed on the occlusal margin of the band
is made of stainless steel and is available in
several sizes and shapes. As well, it usually is
serrated to minimize slippage of the instrument
during use. The opposite side of the tip, which
comes in contact with the patient’s teeth during biting, usually consists of a plastic bite shelf.",,,,,
"Orthodontic instruments
• Bird-beak (no. 139) pliers","Pliers with two short beaks (one of which is
conical and the other pyramidal in shape) used
for bending small wires and springs.",,,,,
"Orthodontic instruments
• Bracket-positioning instrument (Bracket-height gauge)","Device of various designs used to facilitate the
placement of brackets at standard distances from
the incisal edges or occlusal surfaces of specific
teeth. It usually has a ledge that rests on the
incisal edge (occlusal surface) of the tooth, while
a shorter arm is inserted into the bracket slot.",,,,,
"Orthodontic instruments
• Bracket-removing pliers (Debonding pliers)","Pliers used to remove brackets bonded to teeth.
There are various designs depending on the type
of bracket (e.g. stainless steel, ceramic, plastic).
The standard design for stainless steel brackets
has two mirror-image jaws with the sharp cutting
tips formed around a cylindrical opening. The
cutting tips generally do not make contact when
the handles are closed fully. The bracket is
removed by peel and shear forces by placing the
cutting tips at the bracket-adhesive junction and
squeezing.",,,,,
"Orthodontic instruments
• Conversion instrument","An orthodontic instrument that is inserted into the mesial opening of a convertible tube and
functions in a ""can-opener"" fashion to remove its convertible cap and thus turn it into a bracket.
[See Tube (Molar tube), Convertible tube]
[See Conversion (of a tube into a bracket)]",,,,,
"Orthodontic instruments
• Coon ligature-tying pliers","Reverse-action pliers
(squeezing the handles
increases the separation of the
tips), consisting of two opposing
mirror-image parts (handle,
shank and tip, all one piece)
joined just below the shank by a
round metal cylinder with a
channel. The opposing handles
are attached by a spring that
holds them apart, causing the
tips to touch when the
instrument is passive. It is used
for tying metal ligatures. The opposing tips are blunted and forked to facilitate retention of the
ligature wire. As the handles are compressed, spreading the tips, the channel locks the ligature
wire automatically. Because of the reverse action, the initial twist and the pressure are exerted at
the bracket-archwire junction and then twisted away from the bracket. This gives the ligature a
tighter fit around the bracket, forcing the archwire further into the slot.",,,,,
"Orthodontic instruments
• Distal-end cutter","A special wire cutter with the juxtaposed
cutting edges set at right angles to the
long axis of the instrument to facilitate
cutting of the distal end of the archwire,
intraorally. May have a safety hold
mechanism provided either by a thick wire
running parallel to the cutting edges, or by
a rectangular shoulder immediately below
the cutting edges. This mechanism serves
to grip the loose end of the cut archwire
and prevent it from being lost in the
mouth, so that it can be discarded easily.
It can be used to cut round wires up to
0.020 inch or 0.51 mm in diameter and
rectangular wires up to 0.022 x 0.028 inch
or 0.56 x 0.70 mm.",,,,,
"Orthodontic instruments
• Elastic separator pliers (Separator pliers)","Reverse-action pliers
(squeezing the handles
increases the separation of
the beaks) with two long
beaks that are angled for
better access. The beaks are
connected with a circular
hinge and carry tapered,
grooved, blunted tips, which
can retain elastic separators
(modules). They are used to
stretch, hold and place elastic separators.",,,,,
"Orthodontic instruments
• Facebow-adjusting pliers","Heavy-duty pliers with a box-jointed pivot construction, having two parallel beaks and an opposing
one that fits between the former when the pliers are closed. Each beak has a rounded notch at a
right angle to the beak near the tip on the opposing surfaces. Used for adjusting the inner and
outer arches of facebows, or for contouring wires of large diameter (up to 0.062 inch or 1.55 mm).",,,,,
"Orthodontic instruments
• Hard wire cutter","Cutter of design similar to a pin and ligature wire cutter, only larger, and capable of cutting fulldimension archwires.
Orthodontic instruments
• Hemostat (Mosquito pliers)
Small and light pliers with scissor-like design, provided with a mechanical locking mechanism
located between the handles. The handles are available in various lengths. The serrated beaksligatures. Used for placement of elastomeric ligatures
(donuts).",,,,,
• Hemostat (Mosquito pliers),"Small and light pliers with scissor-like design, provided with a mechanical locking mechanism
located between the handles. The handles are available in various lengths. The serrated beaksligatures. Used for placement of elastomeric ligatures
(donuts).",,,,,
"Orthodontic instruments
• Howes utility pliers","Pliers with two long, round beaks tapered to a
pyramid shape and bowed, terminating in
juxtaposed flat round serrated pads. The pads
are positioned at right angles to the long axis
of the beaks; their diameter varies with the
manufacturer. The beaks may be straight or
offset at a 45° angle. Used mainly for gripping
and handling archwires and stainless steel
ligatures during placement in the mouth.",,,,,
"Orthodontic instruments
• Ligature director (Pitchfork instrument)","Stainless steel instrument carrying a straight or angled tip with a notch capable of engaging wires.
Available in double-ended versions or in combination with amalgam-pluggers, scalers or other tips.
Used to tuck and direct stainless steel ligatures under the archwire or bracket wings, or to push
archwires or auxiliaries into position.",,,,,
"Orthodontic instruments
• Light-wire pliers","Essentially identical to bird-beak pliers, only with longer
and more slender beaks. Some designs have one or
more grooves at the tip of the pyramidal beak to aid in
making reproducible loops and helices. Used mainly to
form various loop designs in orthodontic wires
(generally light, round wires), to make minor adjustment
bends in archwires or to place metal spring separators.
[See Orthodontic wire, Australian wire]",,,,,
"Orthodontic instruments
• Mathieu-style ligature-tying pliers","Pliers with long, thin handles equipped with a positive-locking ratchet and spring for instant opening and closing. The opposing tips are serrated and may
have tungsten carbide inserts for longer instrument life. The tips vary in length and taper by the
manufacturer. The pliers are available in various sizes. Used mainly for tying stainless steel
ligatures as well as for placing elastomeric ligatures (donuts).",,,,,
"Orthodontic instruments
• Parallel-action pliers with cutter (Sargent’s heavy-duty pliers)","Heavy-duty pliers with parallel, flat, serrated opposing
beaks. One of the beaks carries a wire cutter on its nonserrated side. Used mainly for bending, cutting or holding
large-diameter wires in laboratory procedures.",,,,,
"Orthodontic instruments
• Pin and ligature wire cutter","Cutter with two tapered and pointed opposing beaks,
terminating in delicate and sharp cutting edges. The
cutting edges may have carbide inserts that can be
sharpened or replaced when dull or damaged, without
replacing the entire instrument. It is available in various
angles, the straight and 15° to the long axis being the
most common. The tape and size of the tips vary with
the manufacturer. Used to cut soft ligature wires
(generally up to 0.016 inch or 0.41 mm) and archretaining pins.",,,,,
"Orthodontic instruments
• Torquing key","Usually a cross-shaped stainless steel instrument, each of the four ends of which carries a milled
slot to engage the wire for placement of torque. Each slot is a different size to accommodate
various gauge wires. Used to place torque in an archwire or to assist full engagement of a wire into
a bracket slot. Various other kinds of torquing keys are used in combination with special pliers to
place torque for an individual tooth.",,,,,
